# sr=500,duration=190.424688
-0.007767,0.057587
-0.027054,0.028992
-0.057907,0.004242
-0.040359,0.015625
-0.018539,0.024078
-0.008743,0.061111
-0.004852,0.050674
-0.003754,0.038773
-0.037582,0.014130
-0.047211,-0.004608
-0.034561,0.012390
-0.007935,0.048706
-0.007492,0.055588
-0.009323,0.048019
-0.014786,0.006546
-0.067612,0.007614
-0.024139,0.019913
-0.019531,0.017609
-0.019058,0.052795
0.001465,0.058319
-0.025146,0.037140
-0.036057,0.013519
-0.061569,0.000916
-0.043457,0.033646
-0.018417,0.027954
-0.009811,0.061340
-0.006271,0.034836
-0.032089,0.030579
-0.049484,0.015717
-0.039871,0.007629
-0.046677,0.039703
-0.005661,0.035583
-0.005753,0.073883
-0.026749,0.063797
-0.059753,0.015839
-0.053696,0.020645
-0.031525,0.011459
-0.034225,0.048599
0.003967,0.048080
-0.012451,0.043594
-0.030014,0.035583
-0.034454,0.012192
-0.048706,0.014145
-0.028610,0.035843
-0.023102,0.065323
0.009659,0.064423
-0.028305,0.031052
-0.040909,0.028244
-0.045776,0.006149
-0.036850,0.023438
-0.025665,0.039627
0.000946,0.039337
-0.001556,0.055893
-0.032288,0.019028
-0.044800,0.027328
-0.037308,0.007736
-0.022064,0.044922
0.004272,0.044952
-0.010193,0.041916
-0.013641,0.031525
-0.024048,0.008514
-0.031509,0.008011
-0.036179,0.018250
0.000977,0.018265
0.004196,0.044693
-0.001541,0.043335
-0.024612,0.021591
-0.028702,0.010025
-0.032593,0.007355
-0.016754,0.012177
0.004410,0.028183
-0.000565,0.041260
-0.004852,0.020828
-0.021881,0.004288
-0.026932,0.000961
-0.032379,0.000290
-0.009430,0.025879
0.006241,0.045135
-0.000183,0.035355
-0.017517,0.017242
-0.030426,-0.001907
-0.029312,0.002701
-0.015793,0.014755
-0.002075,0.035736
-0.001083,0.038986
-0.003082,0.028885
-0.029938,0.018021
-0.034027,0.009933
-0.025116,0.007874
-0.014618,0.034332
0.007446,0.037125
-0.005997,0.040787
-0.017715,0.032181
-0.031509,0.010376
-0.033478,0.001938
-0.017044,0.017990
0.000305,0.049255
-0.001770,0.037155
-0.008347,0.035034
-0.036514,0.032776
-0.031509,0.011993
-0.031494,0.015900
-0.013992,0.036301
-0.001297,0.048096
-0.001801,0.045670
-0.017227,0.024063
-0.038559,0.015320
-0.033127,0.006683
-0.016510,0.032196
-0.009506,0.039520
-0.007156,0.039246
-0.010803,0.046875
-0.027939,0.010025
-0.035919,0.012222
-0.035721,0.025620
-0.013168,0.037186
-0.005737,0.037277
-0.009827,0.039017
-0.025101,0.032166
-0.026718,0.006989
-0.034668,0.015396
-0.026581,0.033997
-0.009338,0.034088
0.003815,0.041077
-0.016235,0.017807
-0.024002,0.019608
-0.037094,0.002579
-0.019638,0.024307
-0.020157,0.024353
-0.004349,0.033081
-0.008392,0.037811
-0.015762,0.017151
-0.038132,0.016006
-0.034698,0.013321
-0.013626,0.014328
-0.007050,0.026245
-0.001160,0.036224
-0.014435,0.027130
-0.020523,0.008163
-0.030975,0.012695
-0.028625,0.014862
-0.007614,0.020126
-0.006897,0.035721
-0.005402,0.037170
-0.026825,0.020676
-0.031082,0.009583
-0.031754,0.003021
-0.016052,0.021957
-0.015762,0.026749
-0.000046,0.034073
-0.012573,0.024750
-0.030838,0.008743
-0.026047,0.008987
-0.020538,0.008347
-0.020752,0.029022
-0.009018,0.035889
-0.007751,0.025375
-0.026245,0.016434
-0.030579,0.016479
-0.020447,0.005936
-0.019882,0.015808
-0.010422,0.030426
-0.004105,0.030457
-0.011047,0.020142
-0.025558,0.014755
-0.024109,0.008041
-0.025848,0.014023
-0.013428,0.021317
-0.002884,0.030823
-0.009766,0.027222
-0.016800,0.024963
-0.023636,0.003326
-0.024124,0.006454
-0.018005,0.015503
-0.002563,0.028824
0.000336,0.023911
-0.013397,0.026596
-0.017120,0.010117
-0.018646,0.001678
-0.023392,0.012863
-0.004761,0.022903
-0.002182,0.022736
-0.000305,0.023010
-0.014603,0.012634
-0.018112,0.002899
-0.020081,0.000641
-0.009567,0.017899
-0.001633,0.017288
-0.001572,0.025635
-0.007935,0.018188
-0.015152,0.004837
-0.024124,0.005676
-0.012192,0.004929
-0.005463,0.016159
0.004089,0.022446
-0.001541,0.020355
-0.012909,0.008789
-0.014450,-0.001480
-0.017487,0.008835
-0.007065,0.008774
0.001190,0.015747
0.000488,0.019379
